team,market_value,squad_size,top_player_value,market_value_norm,market_value_log
SE Palmeiras,213.9,93,600.0,0.9562,5.3702
CR Flamengo,223.7,174,900.0,1.0,5.4148
São Paulo FC,79.85,117,900.0,0.357,4.3926
SC Corinthians Paulista,117.9,102,900.0,0.527,4.7783
CA Mineiro,87.25,105,750.0,0.39,4.4802
Fluminense FC,109.98,105,600.0,0.4916,4.7094
Botafogo FR,114.45,93,700.0,0.5116,4.7488
CA Paranaense,40.23,90,900.0,0.1798,3.7192
Grêmio FBPA,84.35,99,700.0,0.3771,4.4468
SC Internacional,72.85,156,700.0,0.3257,4.302
CR Vasco da Gama,99.3,84,900.0,0.4439,4.6082
Cruzeiro EC,156.75,102,500.0,0.7007,5.061
Santos FC,92.35,102,900.0,0.4128,4.5364
RB Bragantino,81.6,105,900.0,0.3648,4.414
EC Bahia,105.5,87,600.0,0.4716,4.6681
Mirassol FC,29.2,96,900.0,0.1305,3.4078
Clube do Remo,27.15,111,800.0,0.1214,3.3375
EC Vitória,37.8,108,900.0,0.169,3.6584
Chapecoense AF,15.73,114,900.0,0.0703,2.8172
Coritiba FBC,30.15,96,900.0,0.1348,3.4388
