season,position,team,played,won,draw,lost,goals_for,goals_against,goal_diff,points
2023,1,SE Palmeiras,38,20,10,8,64,33,31,70
2023,2,Grêmio FBPA,38,21,5,12,63,56,7,68
2023,3,CA Mineiro,38,19,9,10,52,32,20,66
2023,4,CR Flamengo,38,19,9,10,56,42,14,66
2023,5,Botafogo FR,38,18,10,10,58,37,21,64
2023,6,RB Bragantino,38,17,11,10,49,35,14,62
2023,7,CA Paranaense,38,14,14,10,51,43,8,56
2023,8,Fluminense FC,38,16,8,14,51,47,4,56
2023,9,SC Internacional,38,15,10,13,46,45,1,55
2023,10,Fortaleza EC,38,15,9,14,45,44,1,54
2023,11,São Paulo FC,38,14,11,13,40,38,2,53
2023,12,Cuiabá EC,38,14,9,15,40,39,1,51
2023,13,SC Corinthians Paulista,38,12,14,12,47,48,-1,50
2023,14,Cruzeiro EC,38,11,14,13,35,32,3,47
2023,15,CR Vasco da Gama,38,12,9,17,41,51,-10,45
2023,16,EC Bahia,38,12,8,18,50,53,-3,44
2023,17,Santos FC,38,11,10,17,39,64,-25,43
2023,18,Goiás EC,38,9,11,18,36,53,-17,38
2023,19,Coritiba FBC,38,8,6,24,41,73,-32,30
2023,20,América FC,38,5,9,24,42,81,-39,24
2024,1,Botafogo FR,38,23,10,5,59,29,30,79
2024,2,SE Palmeiras,38,22,7,9,60,33,27,73
2024,3,CR Flamengo,38,20,10,8,61,42,19,70
2024,4,Fortaleza EC,38,19,11,8,53,39,14,68
2024,5,SC Internacional,38,18,11,9,53,36,17,65
2024,6,São Paulo FC,38,17,8,13,53,43,10,59
2024,7,SC Corinthians Paulista,38,15,11,12,54,45,9,56
2024,8,EC Bahia,38,15,8,15,49,49,0,53
2024,9,Cruzeiro EC,38,14,10,14,43,41,2,52
2024,10,CR Vasco da Gama,38,14,8,16,43,56,-13,50
2024,11,CA Mineiro,38,11,14,13,47,54,-7,47
2024,12,EC Vitória,38,13,8,17,45,52,-7,47
2024,13,Fluminense FC,38,12,10,16,33,39,-6,46
2024,14,Grêmio FBPA,38,12,9,17,44,50,-6,45
2024,15,EC Juventude,38,11,12,15,48,59,-11,45
2024,16,RB Bragantino,38,10,14,14,44,48,-4,44
2024,17,CA Paranaense,38,11,9,18,40,46,-6,42
2024,18,Criciúma EC,38,9,11,18,42,61,-19,38
2024,19,Cuiabá EC,38,6,12,20,29,49,-20,30
2024,20,AC Goianiense,38,7,9,22,29,58,-29,30
2025,1,CR Flamengo,38,23,10,5,78,27,51,79
2025,2,SE Palmeiras,38,23,7,8,66,33,33,76
2025,3,Cruzeiro EC,38,19,13,6,55,31,24,70
2025,4,Mirassol FC,38,18,13,7,63,39,24,67
2025,5,Fluminense FC,38,19,7,12,50,39,11,64
2025,6,Botafogo FR,38,17,12,9,58,38,20,63
2025,7,EC Bahia,38,17,9,12,50,46,4,60
2025,8,São Paulo FC,38,14,9,15,43,47,-4,51
2025,9,Grêmio FBPA,38,13,10,15,47,50,-3,49
2025,10,CA Mineiro,38,12,12,14,43,44,-1,48
2025,11,RB Bragantino,38,14,6,18,45,57,-12,48
2025,12,Santos FC,38,12,11,15,45,50,-5,47
2025,13,SC Corinthians Paulista,38,12,11,15,42,47,-5,47
2025,14,CR Vasco da Gama,38,13,6,19,55,60,-5,45
2025,15,EC Vitória,38,11,12,15,35,52,-17,45
2025,16,SC Internacional,38,11,11,16,44,57,-13,44
2025,17,Ceará SC,38,11,10,17,34,40,-6,43
2025,18,Fortaleza EC,38,11,10,17,43,58,-15,43
2025,19,EC Juventude,38,9,8,21,35,69,-34,35
2025,20,SC Recife,38,2,11,25,28,75,-47,17
2026,1,SE Palmeiras,4,3,1,0,12,5,7,10
2026,2,São Paulo FC,4,3,1,0,6,2,4,10
2026,3,SC Corinthians Paulista,4,2,1,1,5,3,2,7
2026,4,EC Bahia,3,2,1,0,4,2,2,7
2026,5,Fluminense FC,4,2,1,1,5,4,1,7
2026,6,CA Paranaense,4,2,1,1,4,3,1,7
2026,7,RB Bragantino,4,2,1,1,3,3,0,7
2026,8,Grêmio FBPA,4,2,0,2,8,8,0,6
2026,9,Chapecoense AF,3,1,2,0,8,6,2,5
2026,10,Mirassol FC,3,1,2,0,6,5,1,5
2026,11,CR Flamengo,3,1,1,1,4,4,0,4
2026,12,Coritiba FBC,4,1,1,2,5,6,-1,4
2026,13,Santos FC,4,1,1,2,6,8,-2,4
2026,14,Botafogo FR,3,1,0,2,7,6,1,3
2026,15,Clube do Remo,4,0,3,1,6,8,-2,3
2026,16,EC Vitória,3,1,0,2,4,7,-3,3
2026,17,CA Mineiro,4,0,2,2,6,8,-2,2
2026,18,SC Internacional,4,0,2,2,3,6,-3,2
2026,19,Cruzeiro EC,4,0,2,2,4,9,-5,2
2026,20,CR Vasco da Gama,4,0,1,3,3,6,-3,1
